University,Program,Year,Closing_Merit,Total_Seats,Applicants,Admission_Status
COMSATS University Islamabad,Economics,2020,79.82,100,1565,Closed
University of Agriculture Faisalabad (UAF),Business Administration,2021,69.58,80,391,Closed
Superior University Lahore,Mechanical Engineering,2015,62.14,60,399,Closed
Riphah International University,Economics,2018,69.59,40,171,Closed
University of Karachi,Business Administration,2019,72.05,40,246,Closed
University of Karachi,Civil Engineering,2021,68.94,50,554,Closed
Bahria University,Electrical Engineering,2017,77.7,40,564,Closed
Ghulam Ishaq Khan Institute (GIKI),Data Science,2015,96.95,100,1517,Closed
Ghulam Ishaq Khan Institute (GIKI),Electrical Engineering,2021,95.49,60,1225,Closed
University of Central Punjab (UCP),Business Administration,2021,68.36,50,602,Closed
Islamia University of Bahawalpur,Artificial Intelligence,2020,72.13,80,1046,Closed
NED University of Engineering and Technology,Electrical Engineering,2018,84.35,40,558,Closed
University of Engineering and Technology (UET) Taxila,Business Administration,2021,85.42,60,866,Closed
University of Karachi,Business Administration,2015,70.42,50,514,Closed
University of Sargodha,Computer Science,2021,73.76,120,1630,Closed
Riphah International University,Artificial Intelligence,2023,80.48,40,336,Closed
Lahore University of Management Sciences (LUMS),Computer Science,2018,99.5,80,894,Closed
Islamia University of Bahawalpur,Electrical Engineering,2018,70.04,150,1555,Closed
NED University of Engineering and Technology,Artificial Intelligence,2018,93.93,80,783,Closed
Superior University Lahore,Software Engineering,2016,66.86,50,214,Closed
University of Engineering and Technology (UET) Taxila,Computer Science,2021,94.86,40,648,Closed
Superior University Lahore,Chemical Engineering,2015,62.51,40,446,Closed
Mehran University of Engineering and Technology,Biomedical Engineering,2024,80.71,40,316,Closed
University of Management and Technology (UMT),Business Administration,2018,70.18,60,338,Closed
University of Management and Technology (UMT),Economics,2021,73.63,100,676,Closed
University of Sargodha,Business Administration,2015,62.28,60,384,Closed
University of Engineering and Technology (UET) Lahore,Mechanical Engineering,2020,93.39,60,531,Closed
University of Management and Technology (UMT),Biomedical Engineering,2018,75.04,60,298,Closed
FAST National University,Economics,2015,86.41,60,666,Closed
Mehran University of Engineering and Technology,Software Engineering,2022,82.99,100,569,Closed
Mehran University of Engineering and Technology,Data Science,2017,83.3,60,755,Closed
University of the Punjab (Gujranwala Campus),Biomedical Engineering,2017,74.82,120,1681,Closed
University of Engineering and Technology (UET) Taxila,Data Science,2024,93.42,100,1685,Closed
University of Sargodha,Economics,2020,66.38,40,165,Closed
NED University of Engineering and Technology,Computer Science,2023,90.92,40,619,Closed
Lahore University of Management Sciences (LUMS),Electrical Engineering,2017,94.83,60,1047,Closed
University of Sargodha,Mathematics,2021,64.07,40,247,Closed
National University of Sciences and Technology (NUST),Biomedical Engineering,2015,98.04,150,1169,Closed
Lahore University of Management Sciences (LUMS),Data Science,2024,99.5,120,2468,Closed
University of the Punjab (Gujranwala Campus),Mathematics,2021,70.73,150,732,Closed
University of Management and Technology (UMT),Chemical Engineering,2016,72.99,40,582,Closed
University of Gujrat,Business Administration,2024,69.87,120,1182,Closed
University of Gujrat,Civil Engineering,2016,64.83,80,863,Closed
University of Central Punjab (UCP),Biomedical Engineering,2018,72.12,80,730,Closed
University of the Punjab (Gujranwala Campus),Civil Engineering,2016,68.32,150,2061,Closed
University of Karachi,Economics,2015,72.74,120,1771,Closed
COMSATS University Islamabad,Mathematics,2020,77.26,100,584,Closed
University of Engineering and Technology (UET) Taxila,Software Engineering,2024,93.22,100,574,Closed
Bahria University,Software Engineering,2024,84.42,80,969,Closed
Ghulam Ishaq Khan Institute (GIKI),Computer Science,2023,99.5,60,614,Closed
University of Engineering and Technology (UET) Lahore,Civil Engineering,2022,88.68,80,617,Closed
Mehran University of Engineering and Technology,Electrical Engineering,2024,82.02,40,625,Closed
University of Karachi,Business Administration,2016,71.98,40,367,Closed
Ghulam Ishaq Khan Institute (GIKI),Artificial Intelligence,2017,98.78,150,2618,Closed
Ghulam Ishaq Khan Institute (GIKI),Electrical Engineering,2024,97.63,60,773,Closed
Bahria University,Mathematics,2020,74.35,40,274,Closed
COMSATS University Islamabad,Data Science,2022,88.38,60,333,Closed
Bahauddin Zakariya University (BZU) Multan,Biomedical Engineering,2016,72.18,80,461,Closed
Institute of Space Technology (IST),Mathematics,2024,82.11,60,672,Closed
National University of Sciences and Technology (NUST),Biomedical Engineering,2020,98.92,40,282,Closed
University of Agriculture Faisalabad (UAF),Business Administration,2018,,80,863,Closed
Bahauddin Zakariya University (BZU) Multan,Artificial Intelligence,2019,77.52,50,481,Closed
Mehran University of Engineering and Technology,Chemical Engineering,2024,80.83,40,665,Closed
University of Engineering and Technology (UET) Lahore,Mechanical Engineering,2015,91.36,150,1167,Closed
Bahauddin Zakariya University (BZU) Multan,Software Engineering,2015,76.98,120,795,Closed
Lahore University of Management Sciences (LUMS),Artificial Intelligence,2015,99.5,80,1567,Closed
University of Gujrat,Electrical Engineering,2023,74.64,150,1876,Closed
Mehran University of Engineering and Technology,Software Engineering,2018,79.89,80,1274,Closed
University of Sargodha,Biomedical Engineering,2017,68.05,60,590,Closed
University of Agriculture Faisalabad (UAF),Computer Science,2021,77.45,100,932,Closed
National University of Sciences and Technology (NUST),Data Science,2018,99.5,60,383,Closed
University of the Punjab (Gujranwala Campus),Business Administration,2017,70.12,60,301,Closed
Punjab University (PU),Civil Engineering,2023,81.83,100,1006,Closed
University of Karachi,Chemical Engineering,2018,72.93,40,545,Closed
University of Central Punjab (UCP),Biomedical Engineering,2017,69.32,80,524,Closed
University of Management and Technology (UMT),Chemical Engineering,2018,73.64,80,1097,Closed
Bahria University,Biomedical Engineering,2020,79.15,120,1437,Closed
University of the Punjab (Gujranwala Campus),Business Administration,2022,73.28,120,664,Closed
Riphah International University,Business Administration,2022,66.58,40,328,Closed
University of Sargodha,Computer Science,2019,74.15,80,1000,Closed
Air University Islamabad,Mechanical Engineering,2024,81.14,100,594,Closed
University of Central Punjab (UCP),Civil Engineering,2018,66.55,50,710,Closed
Quaid-i-Azam University (QAU),Electrical Engineering,2017,87.81,150,2296,Closed
Riphah International University,Business Administration,2019,69.41,100,1486,Closed
Ghulam Ishaq Khan Institute (GIKI),Computer Science,2022,97.58,120,1038,Closed
Islamia University of Bahawalpur,Electrical Engineering,2020,70.87,40,382,Closed
Bahauddin Zakariya University (BZU) Multan,Electrical Engineering,2020,72.48,120,1615,Closed
University of Engineering and Technology (UET) Lahore,Mathematics,2021,88.85,50,857,Closed
University of Sargodha,Electrical Engineering,2017,66.42,50,419,Closed
Lahore University of Management Sciences (LUMS),Computer Science,2019,99.5,150,2879,Closed
Mehran University of Engineering and Technology,Computer Science,2022,83.71,50,730,Closed
National University of Sciences and Technology (NUST),Mathematics,2024,93.12,150,1323,Closed
Mehran University of Engineering and Technology,Artificial Intelligence,2023,88.61,50,405,Closed
University of Gujrat,Electrical Engineering,2015,70.22,40,413,Closed
University of Engineering and Technology (UET) Lahore,Biomedical Engineering,2018,95.05,60,1160,Closed
University of Engineering and Technology (UET) Lahore,Electrical Engineering,2022,93.32,120,841,Closed
Islamia University of Bahawalpur,Economics,2015,67.08,120,1379,Closed
Institute of Space Technology (IST),Chemical Engineering,2019,85.1,40,408,Closed
FAST National University,Software Engineering,2016,90.11,60,719,Closed
Lahore University of Management Sciences (LUMS),Civil Engineering,2021,92.51,40,538,Closed
Ghulam Ishaq Khan Institute (GIKI),Business Administration,2023,95.61,50,800,Closed
University of Management and Technology (UMT),Business Administration,2020,69.07,50,214,Closed
University of Gujrat,Business Administration,2017,64.52,120,1534,Closed
University of the Punjab (Gujranwala Campus),Mathematics,2019,72.48,50,657,Closed
Quaid-i-Azam University (QAU),Mathematics,2016,85.92,40,679,Closed
Bahauddin Zakariya University (BZU) Multan,Computer Science,2015,74.99,120,1340,Closed
Lahore University of Management Sciences (LUMS),Computer Science,2015,97.56,50,470,Closed
Bahauddin Zakariya University (BZU) Multan,Business Administration,2017,66.91,40,450,Closed
Superior University Lahore,Data Science,2020,72.31,100,1161,Closed
University of Sargodha,Artificial Intelligence,2022,75.39,40,572,Closed
Mehran University of Engineering and Technology,Data Science,2021,81.15,120,1452,Closed
University of Agriculture Faisalabad (UAF),Computer Science,2019,75.65,80,1133,Closed
Institute of Space Technology (IST),Chemical Engineering,2017,,60,648,Closed
Mehran University of Engineering and Technology,Civil Engineering,2017,70.9,100,1111,Closed
Quaid-i-Azam University (QAU),Business Administration,2024,87.42,150,1701,Closed
University of Central Punjab (UCP),Biomedical Engineering,2016,69.06,80,1058,Closed
National University of Sciences and Technology (NUST),Electrical Engineering,2024,99.5,150,2203,Closed
Islamia University of Bahawalpur,Biomedical Engineering,2017,70.27,80,344,Closed
University of Management and Technology (UMT),Electrical Engineering,2017,73.32,150,1751,Closed
Ghulam Ishaq Khan Institute (GIKI),Data Science,2017,,100,1680,Closed
Bahauddin Zakariya University (BZU) Multan,Economics,2017,70.94,80,1121,Closed
Bahria University,Chemical Engineering,2020,80.16,80,599,Closed
University of Karachi,Data Science,2024,83.29,60,501,Closed
University of Engineering and Technology (UET) Lahore,Civil Engineering,2018,86.36,40,581,Closed
Riphah International University,Business Administration,2023,67.15,120,988,Closed
University of Engineering and Technology (UET) Lahore,Civil Engineering,2015,88.06,80,1504,Closed
Institute of Space Technology (IST),Electrical Engineering,2020,86.04,150,1983,Closed
University of Karachi,Mechanical Engineering,2023,75.5,60,728,Closed
University of Karachi,Data Science,2022,82.22,100,1655,Closed
Ghulam Ishaq Khan Institute (GIKI),Business Administration,2020,91.5,60,807,Closed
University of Central Punjab (UCP),Computer Science,2015,,150,2042,Closed
University of Sargodha,Mechanical Engineering,2022,67.11,100,1378,Closed
Punjab University (PU),Computer Science,2020,85.5,150,1620,Closed
University of Central Punjab (UCP),Mechanical Engineering,2015,66.16,120,1124,Closed
COMSATS University Islamabad,Economics,2017,76.3,60,627,Closed
Mehran University of Engineering and Technology,Data Science,2022,83.05,100,951,Closed
Riphah International University,Chemical Engineering,2019,,150,1827,Closed
NED University of Engineering and Technology,Civil Engineering,2017,82.53,80,698,Closed
FAST National University,Electrical Engineering,2018,87.0,40,352,Closed
University of Agriculture Faisalabad (UAF),Mechanical Engineering,2017,69.5,40,421,Closed
Lahore University of Management Sciences (LUMS),Economics,2021,93.22,60,736,Closed
Ghulam Ishaq Khan Institute (GIKI),Electrical Engineering,2016,93.79,100,1985,Closed
University of Engineering and Technology (UET) Lahore,Economics,2018,91.71,150,1389,Closed
University of Central Punjab (UCP),Artificial Intelligence,2018,78.08,150,936,Closed
Ghulam Ishaq Khan Institute (GIKI),Biomedical Engineering,2020,94.67,120,1997,Closed
Riphah International University,Chemical Engineering,2021,74.95,150,1977,Closed
Bahauddin Zakariya University (BZU) Multan,Electrical Engineering,2016,75.6,120,1075,Closed
University of Engineering and Technology (UET) Taxila,Chemical Engineering,2019,87.79,60,926,Closed
University of the Punjab (Gujranwala Campus),Civil Engineering,2024,74.01,60,852,Closed
National University of Sciences and Technology (NUST),Software Engineering,2016,98.82,50,301,Closed
Riphah International University,Mathematics,2016,65.03,150,614,Closed
Lahore University of Management Sciences (LUMS),Computer Science,2021,99.5,40,426,Closed
University of Agriculture Faisalabad (UAF),Biomedical Engineering,2018,72.37,60,636,Closed
Lahore University of Management Sciences (LUMS),Mathematics,2020,94.91,50,439,Closed
Bahria University,Civil Engineering,2018,74.52,120,898,Closed
Superior University Lahore,Mechanical Engineering,2017,62.83,40,234,Closed
University of Sargodha,Chemical Engineering,2017,67.66,60,837,Closed
Islamia University of Bahawalpur,Economics,2023,68.82,40,193,Closed
University of the Punjab (Gujranwala Campus),Mechanical Engineering,2020,71.54,60,372,Closed
University of Karachi,Economics,2018,71.26,40,261,Closed
NED University of Engineering and Technology,Electrical Engineering,2016,87.18,120,1447,Closed
National University of Sciences and Technology (NUST),Electrical Engineering,2019,93.98,60,530,Closed
Riphah International University,Mechanical Engineering,2017,66.6,60,550,Closed
University of Karachi,Software Engineering,2016,78.47,80,984,Closed
Mehran University of Engineering and Technology,Software Engineering,2024,81.48,50,662,Closed
University of the Punjab (Gujranwala Campus),Civil Engineering,2023,70.67,50,620,Closed
University of Karachi,Economics,2021,73.46,50,633,Closed
University of Engineering and Technology (UET) Lahore,Business Administration,2024,90.53,60,496,Closed
University of Sargodha,Mechanical Engineering,2018,63.01,40,384,Closed
Air University Islamabad,Mechanical Engineering,2022,80.01,40,421,Closed
Superior University Lahore,Mathematics,2019,65.12,80,797,Closed
Superior University Lahore,Artificial Intelligence,2019,72.42,120,1088,Closed
University of Engineering and Technology (UET) Taxila,Biomedical Engineering,2016,89.15,60,717,Closed
University of Engineering and Technology (UET) Taxila,Chemical Engineering,2015,85.82,80,810,Closed
Islamia University of Bahawalpur,Biomedical Engineering,2015,68.14,80,858,Closed
Air University Islamabad,Data Science,2018,86.71,100,1835,Closed
Lahore University of Management Sciences (LUMS),Computer Science,2020,99.5,50,637,Closed
Riphah International University,Artificial Intelligence,2016,76.11,120,1103,Closed
Institute of Space Technology (IST),Data Science,2019,86.94,80,1411,Closed
University of Gujrat,Computer Science,2016,75.66,40,249,Closed
University of Central Punjab (UCP),Mathematics,2017,66.03,40,465,Closed
Ghulam Ishaq Khan Institute (GIKI),Civil Engineering,2018,89.42,40,582,Closed
University of Engineering and Technology (UET) Taxila,Mechanical Engineering,2016,84.91,40,439,Closed
COMSATS University Islamabad,Civil Engineering,2015,72.69,60,849,Closed
University of Gujrat,Economics,2020,67.85,100,590,Closed
Lahore University of Management Sciences (LUMS),Data Science,2015,99.5,120,698,Closed
University of Central Punjab (UCP),Mathematics,2021,69.52,40,370,Closed
FAST National University,Economics,2021,87.21,40,419,Closed
University of Management and Technology (UMT),Computer Science,2021,77.22,150,794,Closed
Quaid-i-Azam University (QAU),Mathematics,2023,89.06,60,317,Closed
Lahore University of Management Sciences (LUMS),Artificial Intelligence,2024,99.5,100,1199,Closed
University of the Punjab (Gujranwala Campus),Biomedical Engineering,2023,80.41,100,1060,Closed
Bahauddin Zakariya University (BZU) Multan,Economics,2019,72.42,100,1317,Closed
Bahria University,Civil Engineering,2022,75.84,100,1171,Closed
Punjab University (PU),Software Engineering,2015,85.09,150,1708,Closed
FAST National University,Software Engineering,2023,144.11,80,1381,Closed
National University of Sciences and Technology (NUST),Biomedical Engineering,2022,98.44,150,1469,Closed
University of the Punjab (Gujranwala Campus),Economics,2020,71.6,,1033,Closed
Quaid-i-Azam University (QAU),Mechanical Engineering,2024,91.18,150,2246,Closed
Mehran University of Engineering and Technology,Biomedical Engineering,2017,78.92,50,606,Closed
University of Management and Technology (UMT),Mechanical Engineering,2016,68.2,100,1062,Closed
NED University of Engineering and Technology,Biomedical Engineering,2019,84.99,100,1579,Closed
University of Gujrat,Civil Engineering,2019,66.53,150,801,Closed
University of Agriculture Faisalabad (UAF),Data Science,2018,77.29,40,255,Closed
University of Engineering and Technology (UET) Taxila,Biomedical Engineering,2018,90.44,100,613,Closed
University of Karachi,Mechanical Engineering,2022,74.16,50,635,Closed
University of Central Punjab (UCP),Economics,2023,,50,298,Closed
University of the Punjab (Gujranwala Campus),Mathematics,2023,71.63,60,774,Closed
Institute of Space Technology (IST),Mechanical Engineering,2024,85.42,150,2190,Closed
Ghulam Ishaq Khan Institute (GIKI),Computer Science,2019,96.82,80,846,Closed
University of Karachi,Software Engineering,2023,78.75,40,353,Closed
Quaid-i-Azam University (QAU),Mechanical Engineering,2018,84.46,150,1501,Closed
Mehran University of Engineering and Technology,Business Administration,2021,73.35,100,1040,Closed
University of Agriculture Faisalabad (UAF),Computer Science,2017,75.81,120,873,Closed
Bahria University,Economics,2022,78.13,80,1038,Closed
Superior University Lahore,Chemical Engineering,2018,66.12,40,338,Closed
Islamia University of Bahawalpur,Artificial Intelligence,2022,76.13,80,844,Closed
NED University of Engineering and Technology,Business Administration,2020,80.53,80,587,Closed
University of Central Punjab (UCP),Civil Engineering,2017,66.96,40,299,Closed
Bahria University,Software Engineering,2022,81.65,120,1069,Closed
University of Central Punjab (UCP),Computer Science,2021,75.69,80,1131,Closed
University of Sargodha,Economics,2023,65.0,120,1047,Closed
University of Sargodha,Biomedical Engineering,2015,68.07,80,407,Closed
Quaid-i-Azam University (QAU),Mechanical Engineering,2019,84.39,120,733,Closed
University of Engineering and Technology (UET) Lahore,Biomedical Engineering,2024,98.16,60,486,Closed
COMSATS University Islamabad,Civil Engineering,2019,75.75,60,797,Closed
Air University Islamabad,Chemical Engineering,2019,79.03,100,547,Closed
Superior University Lahore,Chemical Engineering,2016,64.92,60,671,Closed
University of Central Punjab (UCP),Computer Science,2016,73.34,100,1008,Closed
NED University of Engineering and Technology,Computer Science,2017,90.66,40,591,Closed
University of Engineering and Technology (UET) Taxila,Biomedical Engineering,2019,88.09,100,1061,Closed
National University of Sciences and Technology (NUST),Mechanical Engineering,2022,93.29,40,365,Closed
Lahore University of Management Sciences (LUMS),Chemical Engineering,2024,99.5,50,1024,Closed
University of Engineering and Technology (UET) Lahore,Computer Science,2021,96.1,150,1586,Closed
University of Karachi,Software Engineering,2022,80.1,100,937,Closed
Bahauddin Zakariya University (BZU) Multan,Data Science,2019,77.79,60,719,Closed
Islamia University of Bahawalpur,Economics,2019,66.09,80,324,Closed
Mehran University of Engineering and Technology,Mechanical Engineering,2022,74.85,100,1203,Closed
Superior University Lahore,Mechanical Engineering,2019,66.06,50,604,Closed
University of Central Punjab (UCP),Artificial Intelligence,2015,74.75,50,334,Closed
COMSATS University Islamabad,Chemical Engineering,2021,78.56,150,2361,Closed
Punjab University (PU),Civil Engineering,2024,79.63,80,1019,Closed
University of the Punjab (Gujranwala Campus),Chemical Engineering,2023,78.0,150,2396,Closed
University of Engineering and Technology (UET) Taxila,Mathematics,2022,85.76,120,1841,Closed
Islamia University of Bahawalpur,Mathematics,2017,66.2,100,720,Closed
COMSATS University Islamabad,Business Administration,2018,78.63,100,1111,Closed
University of Engineering and Technology (UET) Taxila,Chemical Engineering,2017,86.57,50,669,Closed
Punjab University (PU),Mathematics,2015,75.96,100,690,Closed
Riphah International University,Data Science,2017,76.12,150,1935,Closed
University of the Punjab (Gujranwala Campus),Civil Engineering,2018,68.89,50,730,Closed
COMSATS University Islamabad,Chemical Engineering,2015,78.7,80,695,Closed
Air University Islamabad,Computer Science,2024,88.08,40,476,Closed
FAST National University,Electrical Engineering,2015,85.45,50,578,Closed
University of Management and Technology (UMT),Chemical Engineering,2015,68.87,40,243,Closed
NED University of Engineering and Technology,Data Science,2015,86.56,150,2200,Closed
University of Sargodha,Economics,2021,68.2,60,802,Closed
FAST National University,Economics,2018,86.18,120,893,Closed
University of Engineering and Technology (UET) Lahore,Software Engineering,2021,95.0,120,1884,Closed
University of Central Punjab (UCP),Mechanical Engineering,2019,65.86,50,596,Closed
Islamia University of Bahawalpur,Data Science,2018,76.29,150,1941,Closed
University of Engineering and Technology (UET) Lahore,Biomedical Engineering,2017,95.99,150,2302,Closed
University of Central Punjab (UCP),Mechanical Engineering,2017,70.32,120,1408,Closed
University of Central Punjab (UCP),Mathematics,2018,65.41,80,409,Closed
Superior University Lahore,Artificial Intelligence,2016,70.44,100,898,Closed
COMSATS University Islamabad,Business Administration,2024,82.33,60,862,Closed
Ghulam Ishaq Khan Institute (GIKI),Civil Engineering,2015,90.33,60,818,Closed
Mehran University of Engineering and Technology,Civil Engineering,2022,75.6,100,439,Closed
University of Sargodha,Artificial Intelligence,2021,74.48,120,1659,Closed
Air University Islamabad,Data Science,2019,88.76,80,982,Closed
National University of Sciences and Technology (NUST),Mathematics,2020,94.76,100,1229,Closed
Lahore University of Management Sciences (LUMS),Chemical Engineering,2022,95.35,120,2229,Closed
University of Engineering and Technology (UET) Lahore,Biomedical Engineering,2023,98.13,40,226,Closed
University of Agriculture Faisalabad (UAF),Civil Engineering,2015,67.53,150,799,Closed
Air University Islamabad,Mechanical Engineering,2023,80.27,50,407,Closed
Air University Islamabad,Data Science,2022,88.15,100,576,Closed
Superior University Lahore,Mathematics,2015,59.98,100,1089,Closed
University of Sargodha,Electrical Engineering,2016,69.03,50,326,Closed
Air University Islamabad,Computer Science,2021,88.4,120,1496,Closed
Mehran University of Engineering and Technology,Mechanical Engineering,2015,74.39,150,1672,Closed
University of Gujrat,Electrical Engineering,2024,71.82,120,659,Closed
Riphah International University,Mechanical Engineering,2016,67.56,120,1232,Closed
Institute of Space Technology (IST),Economics,2021,84.83,150,2580,Closed
University of the Punjab (Gujranwala Campus),Data Science,2020,81.16,60,394,Closed
Islamia University of Bahawalpur,Software Engineering,2023,71.53,60,899,Closed
Islamia University of Bahawalpur,Artificial Intelligence,2018,71.66,150,1087,Closed
Bahria University,Computer Science,2019,82.81,60,490,Closed
Ghulam Ishaq Khan Institute (GIKI),Artificial Intelligence,2024,99.5,80,783,Closed
National University of Sciences and Technology (NUST),Artificial Intelligence,2017,99.5,60,353,Closed
Bahauddin Zakariya University (BZU) Multan,Software Engineering,2024,77.26,40,210,Closed
FAST National University,Electrical Engineering,2020,90.69,80,567,Closed
University of Sargodha,Artificial Intelligence,2019,73.94,40,447,Closed
Bahauddin Zakariya University (BZU) Multan,Business Administration,2019,71.95,50,286,Closed
National University of Sciences and Technology (NUST),Business Administration,2016,93.2,120,2185,Closed
University of Sargodha,Data Science,2020,72.34,50,280,Closed
University of Management and Technology (UMT),Electrical Engineering,2019,71.91,40,582,Closed
Punjab University (PU),Software Engineering,2023,87.65,100,697,Closed
University of Central Punjab (UCP),Economics,2024,73.84,80,1187,Closed
Bahauddin Zakariya University (BZU) Multan,Electrical Engineering,2023,78.43,40,593,Closed
Institute of Space Technology (IST),Mechanical Engineering,2022,82.68,100,859,Closed
Punjab University (PU),Business Administration,2015,79.49,40,512,Closed
National University of Sciences and Technology (NUST),Data Science,2022,99.5,40,741,Closed
University of the Punjab (Gujranwala Campus),Mechanical Engineering,2023,72.91,80,881,Closed
Institute of Space Technology (IST),Mathematics,2018,81.2,120,1258,Closed
Lahore University of Management Sciences (LUMS),Chemical Engineering,2020,97.59,120,1653,Closed
Lahore University of Management Sciences (LUMS),Economics,2015,91.44,150,1653,Closed
Punjab University (PU),Electrical Engineering,2020,85.8,120,1228,Closed
Air University Islamabad,Data Science,2021,90.2,40,594,Closed
Air University Islamabad,Economics,2021,81.14,40,332,Closed
University of Karachi,Software Engineering,2024,81.38,150,1934,Closed
University of the Punjab (Gujranwala Campus),Economics,2019,71.45,60,313,Closed
Riphah International University,Chemical Engineering,2016,67.98,80,408,Closed
Riphah International University,Business Administration,2024,70.24,120,940,Closed
Quaid-i-Azam University (QAU),Artificial Intelligence,2022,98.54,80,567,Closed
University of Agriculture Faisalabad (UAF),Data Science,2023,81.77,60,469,Closed
Bahauddin Zakariya University (BZU) Multan,Electrical Engineering,2024,76.38,50,324,Closed
Institute of Space Technology (IST),Biomedical Engineering,2019,84.88,,1057,Closed
NED University of Engineering and Technology,Mechanical Engineering,2024,82.01,40,236,Closed
University of the Punjab (Gujranwala Campus),Chemical Engineering,2022,74.59,60,267,Closed
COMSATS University Islamabad,Mathematics,2021,80.01,50,854,Closed
Quaid-i-Azam University (QAU),Artificial Intelligence,2016,94.73,80,1368,Closed
University of Agriculture Faisalabad (UAF),Mathematics,2023,69.45,150,634,Closed
Islamia University of Bahawalpur,Mechanical Engineering,2017,64.4,50,632,Closed
University of Gujrat,Business Administration,2018,66.19,50,191,Closed
Superior University Lahore,Chemical Engineering,2021,68.21,150,1608,Closed
University of Engineering and Technology (UET) Lahore,Software Engineering,2018,94.63,60,641,Closed
University of Agriculture Faisalabad (UAF),Artificial Intelligence,2018,80.28,60,606,Closed
University of Agriculture Faisalabad (UAF),Civil Engineering,2020,71.03,120,520,Closed
Riphah International University,Economics,2016,70.37,100,1499,Closed
Mehran University of Engineering and Technology,Chemical Engineering,2020,78.3,150,839,Closed
University of Engineering and Technology (UET) Lahore,Mathematics,2016,90.57,100,568,Closed
NED University of Engineering and Technology,Biomedical Engineering,2020,88.09,150,1900,Closed
University of Engineering and Technology (UET) Lahore,Business Administration,2021,89.66,40,760,Closed
COMSATS University Islamabad,Electrical Engineering,2020,82.38,50,260,Closed
University of Gujrat,Mechanical Engineering,2022,71.46,80,391,Closed
Institute of Space Technology (IST),Economics,2016,81.8,60,411,Closed
Institute of Space Technology (IST),Electrical Engineering,2022,83.74,80,538,Closed
Mehran University of Engineering and Technology,Economics,2015,73.27,100,728,Closed
COMSATS University Islamabad,Economics,2018,76.12,50,359,Closed
National University of Sciences and Technology (NUST),Biomedical Engineering,2021,99.5,100,1486,Closed
Punjab University (PU),Business Administration,2023,78.77,120,1891,Closed
University of Gujrat,Chemical Engineering,2019,67.39,100,831,Closed
University of Central Punjab (UCP),Economics,2019,68.5,120,744,Closed
FAST National University,Business Administration,2019,82.42,120,882,Closed
University of Agriculture Faisalabad (UAF),Mathematics,2022,68.82,40,428,Closed
Bahauddin Zakariya University (BZU) Multan,Biomedical Engineering,2018,73.54,60,928,Closed
NED University of Engineering and Technology,Economics,2016,80.88,50,580,Closed
Superior University Lahore,Economics,2016,65.3,150,1692,Closed
University of Karachi,Computer Science,2017,78.16,50,681,Closed
Superior University Lahore,Artificial Intelligence,2018,72.03,80,481,Closed
FAST National University,Electrical Engineering,2023,88.67,80,1257,Closed
Institute of Space Technology (IST),Economics,2018,82.03,50,402,Closed
University of Engineering and Technology (UET) Taxila,Chemical Engineering,2021,86.17,120,711,Closed
University of the Punjab (Gujranwala Campus),Data Science,2015,78.17,60,495,Closed
University of the Punjab (Gujranwala Campus),Biomedical Engineering,2024,74.41,60,886,Closed
Punjab University (PU),Electrical Engineering,2017,84.12,80,1278,Closed
COMSATS University Islamabad,Software Engineering,2024,82.96,150,1272,Closed
University of the Punjab (Gujranwala Campus),Biomedical Engineering,2018,78.02,120,1652,Closed
University of Management and Technology (UMT),Computer Science,2016,75.46,40,544,Closed
Islamia University of Bahawalpur,Data Science,2024,76.87,150,1508,Closed
Ghulam Ishaq Khan Institute (GIKI),Mechanical Engineering,2018,88.99,100,1104,Closed
University of Central Punjab (UCP),Software Engineering,2015,73.84,150,1973,Closed
Superior University Lahore,Software Engineering,2018,67.24,100,801,Closed
University of the Punjab (Gujranwala Campus),Data Science,2024,82.38,60,413,Closed
Islamia University of Bahawalpur,Chemical Engineering,2020,68.81,150,1709,Closed
Lahore University of Management Sciences (LUMS),Chemical Engineering,2016,97.02,100,1170,Closed
Bahria University,Data Science,2019,85.54,120,2167,Closed
Bahauddin Zakariya University (BZU) Multan,Electrical Engineering,2022,72.78,120,623,Closed
Quaid-i-Azam University (QAU),Electrical Engineering,2022,89.36,60,443,Closed
University of Sargodha,Biomedical Engineering,2022,71.35,40,610,Closed
University of Engineering and Technology (UET) Lahore,Mathematics,2020,,150,1640,Closed
Islamia University of Bahawalpur,Electrical Engineering,2019,70.91,80,617,Closed
COMSATS University Islamabad,Civil Engineering,2020,76.18,50,402,Closed
Bahauddin Zakariya University (BZU) Multan,Mathematics,2015,70.15,120,1635,Closed
Ghulam Ishaq Khan Institute (GIKI),Civil Engineering,2017,87.07,120,1756,Closed
University of Management and Technology (UMT),Biomedical Engineering,2021,76.2,120,602,Closed
Ghulam Ishaq Khan Institute (GIKI),Artificial Intelligence,2016,98.04,150,1865,Closed
University of Karachi,Mathematics,2015,72.3,60,730,Closed
Islamia University of Bahawalpur,Electrical Engineering,2022,69.71,120,1488,Closed
Institute of Space Technology (IST),Mechanical Engineering,2023,84.7,60,826,Closed
University of Agriculture Faisalabad (UAF),Biomedical Engineering,2023,75.78,120,1488,Closed
University of Gujrat,Economics,2016,64.01,120,783,Closed
Superior University Lahore,Electrical Engineering,2017,67.77,120,871,Closed
Mehran University of Engineering and Technology,Civil Engineering,2015,70.53,150,1205,Closed
